id,type,host_Z,visits_needed,visits_done,started,completed
732,Ia,21.480,1,1,1,1
733,Ia,22.382,1,1,1,1
734,Ia,20.643,1,1,1,1
735,Ia,22.087,1,0,0,0
736,Ia,23.908,13,13,1,1
738,Ia,25.322,173,12,1,0
740,Ia,24.530,40,17,1,0
741,Ia,21.133,1,1,1,1
742,Ia,21.582,1,1,1,1
743,Ia,21.710,1,1,1,1
744,Ia,23.954,14,14,1,1
745,Ia,19.852,1,1,1,1
747,Ia,23.269,4,4,1,1
748,Ia,19.839,1,1,1,1
749,Ia,21.874,1,0,0,0
750,Ia,23.294,5,5,1,1
751,Ia,21.450,1,1,1,1
753,Ia,21.064,1,1,1,1
754,Ia,21.791,1,1,1,1
756,Ia,20.345,1,1,1,1
757,Ia,22.310,1,1,1,1
758,Ia,22.863,2,2,1,1
759,Ia,22.883,2,2,1,1
760,Ia,19.834,1,1,1,1
762,Ia,23.465,6,6,1,1
763,Ia,20.280,1,1,1,1
764,Ia,21.363,1,0,0,0
765,Ia,21.669,1,1,1,1
766,Ia,23.759,10,10,1,1
767,Ia,19.845,1,0,0,0
768,Ia,20.292,1,0,0,0
769,Ia,20.963,1,1,1,1
770,Ia,22.969,3,0,0,0
771,Ia,20.294,1,1,1,1
773,Ia,21.340,1,1,1,1
774,Ia,19.986,1,1,1,1
775,Ia,20.992,1,1,1,1
776,Ia,21.662,1,1,1,1
777,Ia,20.691,1,0,0,0
778,Ia,21.816,1,1,1,1
780,Ia,22.948,3,3,1,1
782,Ia,22.569,2,2,1,1
783,Ia,23.282,5,0,0,0
784,Ia,22.987,3,3,1,1
785,Ia,20.464,1,0,0,0
786,Ia,20.672,1,1,1,1
787,Ia,24.968,90,7,1,0
788,Ia,21.000,1,0,0,0
789,Ia,21.317,1,1,1,1
790,Ia,20.622,1,1,1,1
792,Ia,22.489,1,1,1,1
793,Ia,21.974,1,1,1,1
794,Ia,23.300,5,5,1,1
795,Ia,22.834,2,2,1,1
796,Ia,21.705,1,1,1,1
797,Ia,22.648,2,2,1,1
798,Ia,20.548,1,0,0,0
799,Ia,20.306,1,0,0,0
800,Ia,23.467,6,6,1,1
801,Ia,21.621,1,1,1,1
802,Ia,23.426,6,3,1,0
803,Ia,22.373,1,0,0,0
804,Ia,22.973,3,3,1,1
805,Ia,21.716,1,1,1,1
806,Ia,22.530,2,2,1,1
807,Ia,21.852,1,0,0,0
808,Ia,22.100,1,1,1,1
809,Ia,23.050,3,3,1,1
810,Ia,20.686,1,1,1,1
812,Ia,21.839,1,1,1,1
813,Ia,21.872,1,0,0,0
814,Ia,21.645,1,0,0,0
815,Ia,21.408,1,0,0,0
816,Ia,24.163,21,12,1,0
817,Ia,20.195,1,0,0,0
818,Ia,22.690,2,2,1,1
819,Ia,21.001,1,1,1,1
820,Ia,21.645,1,1,1,1
821,Ia,22.499,1,1,1,1
822,Ia,23.240,4,4,1,1
823,Ia,25.343,181,0,0,0
824,Ia,22.176,1,1,1,1
825,Ia,22.521,2,2,1,1
826,Ia,21.439,1,1,1,1
827,Ia,22.431,1,1,1,1
828,Ia,23.969,15,0,0,0
829,Ia,20.894,1,0,0,0
830,Ia,23.024,3,3,1,1
831,Ia,23.943,14,0,0,0
832,Ia,19.645,1,1,1,1
833,Ia,22.578,2,2,1,1
834,Ia,20.715,1,0,0,0
