field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,738107,242.65526,55.99273,0.2462,25.906
ELAIS-N1,630410,242.48327,55.31150,0.9168,21.447
ELAIS-N1,1327482,244.59549,54.24590,0.4955,22.597
ELAIS-N1,406874,243.00956,53.94271,0.5217,20.115
ELAIS-N1,2348915,241.57600,54.32819,1.0081,25.547
ELAIS-N1,505033,242.70819,52.95830,0.7053,21.541
ELAIS-N1,1497099,242.44203,55.16820,1.0147,22.633
ELAIS-N1,491093,242.28077,54.05341,1.1945,25.854
ELAIS-N1,1497814,242.80717,52.77867,1.2953,23.082
ELAIS-N1,221289,242.20776,53.95621,1.5904,27.392
ELAIS-N1,3196307,241.62029,54.16369,0.4045,21.579
ELAIS-N1,1460370,242.05512,55.08419,1.3709,23.010
ELAIS-N1,2487699,244.09043,52.95738,0.8911,22.796
ELAIS-N1,2824376,243.16906,55.31531,0.7612,23.533
ELAIS-N1,3257516,245.00327,55.19060,0.8556,21.737
ELAIS-N1,2819794,238.98203,53.82637,0.7125,23.167
ELAIS-N1,1614622,244.19395,53.39279,0.7989,22.983
ELAIS-N1,1869717,240.38022,55.88261,0.6346,20.761
ELAIS-N1,2453707,243.59150,53.43047,1.0321,23.630
ELAIS-N1,25475,239.05149,54.61687,0.5172,26.586
ELAIS-N1,335284,244.17242,55.18006,0.2536,19.052
ELAIS-N1,2883199,239.54388,53.70460,0.8440,22.777
ELAIS-N1,1522343,243.14297,53.37743,0.9555,22.247
ELAIS-N1,2209051,244.83269,54.14868,0.9160,22.542
ELAIS-N1,875464,243.08191,54.19864,0.7294,21.659
ELAIS-N1,3131970,242.14109,54.16185,1.0322,22.451
ELAIS-N1,1261158,244.22571,53.84872,0.9876,24.077
ELAIS-N1,155224,241.72712,53.59640,0.5032,26.174
ELAIS-N1,1603241,242.93060,52.83676,0.6179,21.905
ELAIS-N1,1709454,239.49400,55.28741,0.4650,26.024
ELAIS-N1,2729456,243.12957,54.60502,0.6753,24.135
ELAIS-N1,688566,244.95982,53.35622,0.5923,23.115
ELAIS-N1,3326875,242.23193,54.82016,1.0374,24.766
ELAIS-N1,1169327,242.12917,53.75254,1.3146,23.550
ELAIS-N1,1943820,241.91338,56.30059,0.7497,23.583
ELAIS-N1,2739998,241.27362,52.87418,0.7036,21.134
ELAIS-N1,534608,242.70936,53.66841,0.7109,24.832
ELAIS-N1,1142275,244.50329,53.94669,0.5227,21.209
ELAIS-N1,1533979,242.12744,54.53140,1.2089,23.842
ELAIS-N1,891915,245.13489,54.43626,0.3477,26.106
ELAIS-N1,3294116,243.57334,54.77216,0.9963,23.417
ELAIS-N1,3107383,241.03589,53.93136,0.9807,27.041
ELAIS-N1,1916903,241.85044,53.58674,0.6304,24.392
ELAIS-N1,2467633,244.42353,55.03489,0.4112,20.193
ELAIS-N1,2358765,242.69878,53.52402,0.4896,20.591
ELAIS-N1,629604,242.19602,55.87382,0.4181,25.474
ELAIS-N1,2855201,241.13392,54.82132,0.7952,25.826
