Source_Name,RA_deg,DEC_deg,Total_flux_mJy,Peak_flux_mJy
ILTJ161859.67+532503.1,244.74864,53.41754,2.1141,1.1568
ILTJ161859.02+533900.1,244.74593,53.65005,1.1769,0.6066
ILTJ161858.69+532634.6,244.74455,53.44296,0.8561,0.4674
ILTJ161858.55+534141.5,244.74398,53.69487,0.9097,0.4388
ILTJ161858.15+533511.1,244.74230,53.58643,0.4959,0.5172
ILTJ161856.26+530314.1,244.73444,53.05392,1.2314,0.7952
ILTJ161855.34+531318.9,244.73058,53.22193,6.7762,2.7891
ILTJ161855.67+535033.4,244.73194,53.84263,0.5858,0.4979
ILTJ161854.82+525810.1,244.72840,52.96949,1.2342,0.9491
ILTJ161853.80+535500.5,244.72416,53.91682,29.0371,13.7068
ILTJ161854.05+533838.7,244.72522,53.64410,0.8156,0.6325
ILTJ161853.59+535217.2,244.72331,53.87146,0.8933,0.6897
ILTJ161853.48+534545.8,244.72284,53.76274,1.0093,0.7309
ILTJ161852.84+525602.8,244.72016,52.93412,1.8991,0.9927
ILTJ161853.00+535209.9,244.72082,53.86943,0.7072,0.6147
ILTJ161852.73+533123.3,244.71971,53.52315,0.9230,0.7624
ILTJ161852.36+535157.5,244.71817,53.86599,0.7135,0.4728
ILTJ161851.33+531216.0,244.71386,53.20446,1.6114,1.3141
ILTJ161848.87+534454.2,244.70364,53.74841,46.9283,15.2465
ILTJ161848.39+531255.7,244.70164,53.21550,0.9355,0.5750
ILTJ161846.82+534826.8,244.69509,53.80744,25.9872,7.9814
ILTJ161847.43+535026.8,244.69761,53.84079,0.7329,0.6551
ILTJ161846.43+532922.7,244.69346,53.48966,0.8729,0.5093
ILTJ161845.63+535044.6,244.69014,53.84573,1.0155,0.6189
ILTJ161844.66+525316.3,244.68607,52.88788,1.3466,1.0934
ILTJ161842.78+525053.4,244.67826,52.84817,74.5752,5.4691
ILTJ161843.41+531917.7,244.68089,53.32158,1.1640,0.8143
ILTJ161842.48+534043.6,244.67698,53.67879,0.6617,0.6283
ILTJ161842.51+531609.5,244.67713,53.26931,0.6093,0.6164
ILTJ161841.41+532649.1,244.67254,53.44699,1.7986,1.3374
ILTJ161841.58+533031.6,244.67325,53.50880,0.4254,0.4775
ILTJ161841.44+534905.4,244.67266,53.81817,0.5922,0.4954
ILTJ161839.21+530320.1,244.66339,53.05559,11.6771,1.1468
ILTJ161838.59+534011.0,244.66078,53.66973,0.8138,0.6011
ILTJ161837.99+530055.9,244.65828,53.01553,0.9637,0.5332
ILTJ161836.64+535141.8,244.65265,53.86163,54.6104,32.8092
ILTJ161836.73+532003.5,244.65305,53.33431,1.6604,0.4694
ILTJ161836.51+532911.7,244.65212,53.48659,2.4912,0.7614
ILTJ161836.58+535257.3,244.65240,53.88261,1.0429,0.8095
ILTJ161835.75+533654.0,244.64894,53.61502,0.9439,0.5588
ILTJ161834.78+531814.3,244.64490,53.30398,0.8802,0.5002
ILTJ161834.30+531252.1,244.64290,53.21447,1.5551,0.9809
ILTJ161831.39+532423.7,244.63078,53.40660,53.4908,3.7402
ILTJ161832.88+530111.6,244.63698,53.01990,18.0165,9.9561
ILTJ161833.18+531339.3,244.63827,53.22759,0.4860,0.4898
ILTJ161831.48+532706.2,244.63115,53.45172,0.6699,0.5268
ILTJ161831.05+534642.8,244.62938,53.77856,2.3633,1.8351
