field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,672876,241.48947,55.31140,0.4695,22.948
ELAIS-N1,2112000,244.81234,54.43688,1.9836,23.658
ELAIS-N1,1772919,244.07512,54.94029,2.1669,23.171
ELAIS-N1,478180,242.54600,53.37980,1.1117,23.530
ELAIS-N1,2506920,243.10862,56.39866,2.3111,23.536
ELAIS-N1,1176606,240.32983,54.64073,0.2509,20.857
ELAIS-N1,2724381,242.80919,53.84867,0.8608,23.384
ELAIS-N1,2049168,245.49330,54.47286,0.5344,21.235
ELAIS-N1,323036,243.97128,53.17522,0.6312,23.580
ELAIS-N1,2231297,240.47256,55.77776,0.9443,23.802
ELAIS-N1,1614918,244.45906,54.26892,1.6102,23.798
ELAIS-N1,1966493,242.76804,56.27934,0.4506,23.302
ELAIS-N1,2320850,241.36880,53.19930,0.6784,23.826
ELAIS-N1,826842,243.21359,54.29292,0.5849,22.125
ELAIS-N1,2386484,244.53146,55.72996,0.6732,23.576
ELAIS-N1,690960,240.42900,55.53868,0.3375,20.712
ELAIS-N1,1246256,245.53839,54.31692,0.6814,22.997
ELAIS-N1,2846409,243.18983,56.49409,0.6538,21.799
ELAIS-N1,1904574,241.63556,54.55680,1.1018,22.583
ELAIS-N1,3330722,243.06830,56.41059,0.6966,22.528
ELAIS-N1,3143910,245.01119,53.66841,0.9918,22.056
ELAIS-N1,1253101,242.99104,55.03610,0.6128,23.834
ELAIS-N1,2836919,243.83440,55.47888,0.7490,23.194
ELAIS-N1,1966490,243.83215,53.95678,0.1957,21.755
ELAIS-N1,109533,242.13749,52.88620,0.4240,21.346
ELAIS-N1,963893,242.89437,56.43445,0.4003,22.052
ELAIS-N1,1959095,242.49568,56.50602,0.5054,23.978
ELAIS-N1,1221731,243.87889,53.84867,0.7124,23.927
ELAIS-N1,1014446,241.13010,55.04807,0.6127,23.660
ELAIS-N1,2027023,244.18155,54.91633,0.6947,23.631
ELAIS-N1,190524,239.45212,54.73661,0.4783,23.476
ELAIS-N1,171295,244.56396,53.77658,1.0593,23.674
ELAIS-N1,2768780,244.03204,55.62237,0.5337,22.928
ELAIS-N1,1686737,241.39428,55.95697,0.4198,22.418
ELAIS-N1,216026,241.12965,53.43995,1.0155,23.738
ELAIS-N1,464126,242.70652,52.56075,0.4628,23.793
ELAIS-N1,2546796,245.55718,54.37690,0.5548,22.925
ELAIS-N1,2104552,245.74104,54.36491,0.6059,23.220
ELAIS-N1,2873437,243.32034,55.80166,0.4643,22.512
ELAIS-N1,2470800,244.34493,56.02863,0.4663,23.892
ELAIS-N1,2776237,245.49373,54.86842,0.3925,23.928
ELAIS-N1,1791329,239.07789,53.92075,0.3406,23.967
ELAIS-N1,716988,244.83795,53.06687,0.8522,23.959
ELAIS-N1,774889,242.24974,56.07640,0.7658,23.359
ELAIS-N1,2677412,241.66722,54.82049,0.3674,23.020
ELAIS-N1,3278871,242.22574,55.21567,0.9210,23.711
ELAIS-N1,742164,244.43778,54.17291,0.6280,23.852
ELAIS-N1,812831,241.53931,53.19930,0.2633,23.124
ELAIS-N1,1173865,242.29345,53.29558,0.5781,23.947
ELAIS-N1,3288944,241.43596,55.22764,0.7251,23.293
ELAIS-N1,3051414,244.40822,55.31140,0.4677,22.842
ELAIS-N1,3310097,241.84185,54.55680,0.6554,23.583
ELAIS-N1,2093993,241.86562,55.21567,0.5357,23.258
ELAIS-N1,1875532,244.32394,52.86210,0.4282,23.414
ELAIS-N1,1997142,243.64490,53.52413,0.7961,23.485
ELAIS-N1,2094662,244.60006,54.14890,0.9523,23.727
ELAIS-N1,255709,244.44877,55.71800,0.5579,23.877
ELAIS-N1,2417602,241.51954,54.36491,0.4547,23.947
ELAIS-N1,391072,241.37487,56.24353,0.5819,23.915
ELAIS-N1,598557,239.59871,55.76581,0.6327,23.596
ELAIS-N1,377354,242.27415,52.81390,0.3251,23.503
ELAIS-N1,955930,241.04603,56.26740,0.5321,23.972
ELAIS-N1,2602288,243.39448,54.24492,0.3129,22.112
ELAIS-N1,1232526,245.10215,55.95697,0.3393,21.357
ELAIS-N1,3288939,244.12462,55.28747,0.1668,21.282
ELAIS-N1,714172,245.02967,54.80851,0.5740,23.367
ELAIS-N1,563839,243.09263,55.06005,0.4572,23.993
ELAIS-N1,2577371,243.62464,53.51211,0.4092,22.665
ELAIS-N1,2167882,243.07931,54.43688,0.7607,23.478
ELAIS-N1,2851199,244.12996,53.06687,0.7616,23.798
