id,type,z,host_Z,p_sn,p_host,host_target,host_visits_needed_pfs,host_hours_needed_desi,host_hours_done,observed,host_completed
2197,Ia,0.68996,21.815,2,2,1,1,4.2,6.0,1,1
2198,Ia,0.84324,23.531,4,4,1,7,29.4,4.0,0,0
2199,Ia,1.01783,23.507,2,2,1,7,29.4,14.0,0,0
2200,Ia,0.84776,25.872,2,2,0,-1,-1.0,0.0,0,0
2201,Ia,0.29223,23.289,0,0,1,5,21.0,16.0,0,0
2202,Ia,0.50018,19.686,3,3,1,1,4.2,6.0,0,1
2203,Ia,0.81722,21.510,2,2,1,1,4.2,6.0,0,1
2204,Ia,0.70067,22.307,1,1,1,1,4.2,6.0,1,1
2205,Ia,0.92524,21.406,1,1,1,1,4.2,4.0,0,0
2206,Ia,0.88060,24.560,4,4,1,43,180.6,2.0,0,0
2207,Ia,0.33508,19.320,2,2,1,1,4.2,6.0,1,1
2208,Ia,0.67857,24.926,4,4,1,84,352.8,4.0,0,0
2209,Ia,1.08618,23.838,2,2,1,12,50.4,6.0,0,0
2210,Ia,0.43799,21.172,3,3,1,1,4.2,6.0,0,1
2211,Ia,0.28090,19.865,4,4,1,1,4.2,6.0,0,1
2212,Ia,0.70799,19.822,0,0,1,1,4.2,6.0,0,1
2213,Ia,0.81945,26.750,3,3,0,-1,-1.0,0.0,0,0
2214,Ia,0.69122,21.038,3,3,1,1,4.2,4.0,1,0
2215,Ia,0.65279,999.000,-1,-1,0,-1,-1.0,0.0,0,0
2216,Ia,0.96683,22.542,0,0,1,2,8.4,4.0,0,0
2217,Ia,0.53230,22.290,2,2,1,1,4.2,4.0,0,0
2218,Ia,0.83959,999.000,3,-1,0,-1,-1.0,0.0,0,0
2219,Ia,0.68542,999.000,4,-1,0,-1,-1.0,0.0,1,0
2220,Ia,1.07192,21.986,3,3,1,1,4.2,6.0,0,1
2221,Ia,0.70809,21.234,4,4,1,1,4.2,6.0,0,1
2222,Ia,0.83576,20.946,5,5,1,1,4.2,2.0,0,0
2223,Ia,0.70191,999.000,3,-1,0,-1,-1.0,0.0,0,0
2224,Ia,0.23150,19.128,5,5,1,1,4.2,6.0,0,1
2225,Ia,0.89253,23.060,3,3,1,3,12.6,14.0,0,1
2226,Ia,0.63599,21.659,3,3,1,1,4.2,4.0,1,0
2227,Ia,0.61124,25.029,5,5,1,100,420.0,0.0,0,0
2228,Ia,0.48870,24.894,5,5,1,79,331.8,14.0,1,0
2229,Ia,0.69800,24.157,0,0,1,21,88.2,14.0,0,0
2230,Ia,0.40245,20.706,0,0,1,1,4.2,6.0,1,1
2231,Ia,0.74887,24.193,4,4,1,22,92.4,16.0,0,0
2232,Ia,0.68584,21.203,3,3,1,1,4.2,6.0,0,1
2233,Ia,0.37331,21.411,4,4,1,1,4.2,0.0,1,0
2234,Ia,0.78677,22.020,4,4,1,1,4.2,6.0,0,1
2235,Ia,0.67236,22.366,1,1,1,1,4.2,0.0,0,0
2236,Ia,0.68802,21.176,0,0,1,1,4.2,6.0,0,1
2237,Ia,0.19636,21.620,0,0,1,1,4.2,6.0,1,1
2238,Ia,0.88898,21.993,4,4,1,1,4.2,6.0,0,1
2239,Ia,0.57609,20.129,4,4,1,1,4.2,6.0,1,1
2240,Ia,0.39642,19.998,4,4,1,1,4.2,6.0,1,1
2241,Ia,0.53295,22.767,2,2,1,2,8.4,6.0,0,0
2242,Ia,0.37318,18.856,1,1,1,1,4.2,0.0,0,0
2243,Ia,0.47318,22.802,1,1,1,2,8.4,10.0,0,1
2244,Ia,0.97499,999.000,1,-1,0,-1,-1.0,0.0,0,0
2245,Ia,0.42651,24.075,0,0,1,18,75.6,4.0,0,0
2246,Ia,0.16458,18.719,0,0,1,1,4.2,6.0,1,1
2247,Ia,0.91210,21.394,0,0,1,1,4.2,6.0,0,1
2248,Ia,0.78655,26.442,5,5,0,-1,-1.0,0.0,0,0
2249,Ia,0.77696,21.526,2,2,1,1,4.2,6.0,0,1
2250,Ia,0.62240,22.340,0,0,1,1,4.2,6.0,0,1
2251,Ia,0.61074,19.803,0,5,1,1,4.2,6.0,0,1
2252,Ia,0.56360,22.594,2,2,1,2,8.4,10.0,1,1
2253,Ia,0.60563,22.953,2,2,1,3,12.6,8.0,1,0
2254,Ia,0.42307,21.727,0,0,1,1,4.2,6.0,0,1
2255,Ia,0.39653,23.306,4,4,1,5,21.0,14.0,1,0
2256,Ia,0.58178,22.874,0,0,1,2,8.4,0.0,0,0
2257,Ia,0.96599,21.264,5,5,1,1,4.2,6.0,0,1
2258,Ia,0.45127,21.962,5,5,1,1,4.2,4.0,0,0
2259,Ia,0.55043,21.948,0,0,1,1,4.2,4.0,1,0
2260,Ia,0.39992,21.706,1,1,1,1,4.2,6.0,0,1
2261,Ia,0.95594,21.788,3,3,1,1,4.2,6.0,0,1
2262,Ia,0.94987,23.101,4,4,1,3,12.6,14.0,0,1
2263,Ia,0.25677,18.841,5,5,1,1,4.2,4.0,1,0
2264,Ia,0.88498,22.707,0,0,1,2,8.4,10.0,0,1
2265,Ia,0.91080,21.536,3,3,1,1,4.2,6.0,0,1
2266,Ia,0.89687,21.737,3,3,1,1,4.2,6.0,0,1
2267,Ia,0.99168,23.386,4,4,1,5,21.0,2.0,0,0
2268,Ia,0.91664,21.506,1,1,1,1,4.2,6.0,0,1
2269,Ia,0.72246,22.160,1,1,1,1,4.2,6.0,0,1
2270,Ia,0.34588,21.049,1,1,1,1,4.2,6.0,1,1
2271,Ia,1.11349,22.982,-1,-1,1,3,12.6,0.0,0,0
2272,Ia,0.75601,999.000,2,-1,0,-1,-1.0,0.0,0,0
2273,Ia,0.71007,21.737,5,5,1,1,4.2,6.0,0,1
2274,Ia,0.78548,22.701,2,2,1,2,8.4,10.0,0,1
2275,Ia,0.63213,20.106,2,2,1,1,4.2,4.0,0,0
2276,Ia,0.78221,21.783,3,3,1,1,4.2,4.0,0,0
2277,Ia,0.87526,23.624,4,4,1,8,33.6,4.0,0,0
2278,Ia,0.52367,20.507,2,2,1,1,4.2,6.0,1,1
2279,Ia,0.80655,23.354,1,1,1,5,21.0,4.0,0,0
